Rank,Book Name,Simile,Tenor,Vehicle,Shared Property
4,Romeo and Juliet,"i’ll look to like, if looking liking move: but no more deep will i endart mine eye than your consent gives strength to make it fly.",eye,consent,
4,Romeo and Juliet,"it is too rough, too rude, too boisterous; and it pricks like thorn.",it  ,thorn,
4,Romeo and Juliet,"content thee, gentle coz, let him alone, a bears him like a portly gentleman; and, to say truth, verona brags of him to be a virtuous and well-govern’d youth.",him,bear,
4,Romeo and Juliet,"if he be married, my grave is like to be my wedding bed.",grave,bed,
4,Romeo and Juliet,"although i joy in thee, i have no joy of this contract tonight; it is too rash, too unadvis’d, too sudden, too like the lightning, which doth cease to be ere one can say “it lightens.” sweet, good night.",contract,lightning,
4,Romeo and Juliet,"how silver-sweet sound lovers’ tongues by night, like softest music to attending ears.",tongues,music,
4,Romeo and Juliet,"’tis almost morning; i would have thee gone, and yet no farther than a wanton’s bird, that lets it hop a little from her hand, like a poor prisoner in his twisted gyves, and with a silk thread plucks it back again, so loving-jealous of his liberty.",bird,bird,
4,Romeo and Juliet,"the grey-ey’d morn smiles on the frowning night, chequering the eastern clouds with streaks of light; and fleckled darkness like a drunkard reels from forth day’s pathway, made by titan’s fiery wheels now, ere the sun advance his burning eye, the day to cheer, and night’s dank dew to dry, i must upfill this osier cage of ours with baleful weeds and precious-juiced flowers.",morn,smiles,
4,Romeo and Juliet,"without his roe, like a dried herring.",roe,herring,
4,Romeo and Juliet,"for this drivelling love is like a great natural, that runs lolling up and down to hide his bauble in a hole.",love,natural,
4,Romeo and Juliet,"within this hour my man shall be with thee, and bring thee cords made like a tackled stair, which to the high topgallant of my joy must be my convoy in the secret night.",cords,stair,
4,Romeo and Juliet,"your love says like an honest gentleman, and a courteous, and a kind, and a handsome, and i warrant a virtuous,—where is your mother?",love,gentleman,
4,Romeo and Juliet,"‘your love says, like an honest gentleman, ‘where is your mother?’ nurse.",love,gentleman,
4,Romeo and Juliet,"these violent delights have violent ends, and in their triumph die; like fire and powder, which as they kiss consume.",Delights,Fire,
4,Romeo and Juliet,"ah, juliet, if the measure of thy joy be heap’d like mine, and that thy skill be more to blazon it, then sweeten with thy breath this neighbour air, and let rich music’s tongue unfold the imagin’d happiness that both receive in either by this dear encounter.",Juliet,heap,
4,Romeo and Juliet,"thou art like one of these fellows that, when he enters the confines of a tavern, claps me his sword upon the table, and says ‘god send me no need of thee!’ and by the operation of the second cup draws him on the drawer, when indeed there is no need.",thou,fellows,
4,Romeo and Juliet,am i like such a fellow?,I,fellow,
4,Romeo and Juliet,"but by and by comes back to romeo, who had but newly entertain’d revenge, and to’t they go like lightning; for, ere i could draw to part them was stout tybalt slain; and as he fell did romeo turn and fly.",Romeo,Lightning,
4,Romeo and Juliet,"i would forget it fain, but o, it presses to my memory like damned guilty deeds to sinners’ minds.",memory,deeds,
4,Romeo and Juliet,"wert thou as young as i, juliet thy love, an hour but married, tybalt murdered, doting like me, and like me banished, then mightst thou speak, then mightst thou tear thy hair, and fall upon the ground as i do now, taking the measure of an unmade grave.",Juliet,actions,
4,Romeo and Juliet,"fie, fie, thou sham’st thy shape, thy love, thy wit, which, like a usurer, abound’st in all, and usest none in that true use indeed which should bedeck thy shape, thy love, thy wit.",shape,usurer,
4,Romeo and Juliet,"thy noble shape is but a form of wax, digressing from the valour of a man; thy dear love sworn but hollow perjury, killing that love which thou hast vow’d to cherish; thy wit, that ornament to shape and love, misshapen in the conduct of them both, like powder in a skilless soldier’s flask, is set afire by thine own ignorance, and thou dismember’d with thine own defence.",shape,wax,
4,Romeo and Juliet,"a pack of blessings light upon thy back; happiness courts thee in her best array; but like a misshaped and sullen wench, thou putt’st up thy fortune and thy love.",wench,misshaped,
4,Romeo and Juliet,and yet no man like he doth grieve my heart.,man,he,
4,Romeo and Juliet,"if, rather than to marry county paris thou hast the strength of will to slay thyself, then is it likely thou wilt undertake a thing like death to chide away this shame, that cop’st with death himself to scape from it.",shame,death,
4,Romeo and Juliet,"no warmth, no breath shall testify thou livest, the roses in thy lips and cheeks shall fade to paly ashes; thy eyes’ windows fall, like death when he shuts up the day of life.",Roses,Ashes,
